time,name,state,errors,attempts,detail,path
2026-08-24 09:46:58,-- Heiken_Ashi_Ma_T3__2,MQ5_REJECTED,0,0,QUARANTINED: high-risk capabilities; report=F:\hugos way settings\MQL_ONE_FIXED_v5.5\OUTPUT\_validation\reports\-- Heiken_Ashi_Ma_T3__2.json,F:\Converted Indicators\-- Heiken_Ashi_Ma_T3__2.mq5
2026-08-24 09:46:58,!                              my i-Sessions1,MQ5_REJECTED,0,0,QUARANTINED: structural review required: no SetIndexBuffer calls; report=F:\hugos way settings\MQL_ONE_FIXED_v5.5\OUTPUT\_validation\reports\!                              my i-Sessions1.json,F:\Converted Indicators\!                              my i-Sessions1.mq5
2026-08-24 09:46:58,-- Heiken_Ashi_Ma_T3,MQ5_REJECTED,0,0,QUARANTINED: high-risk capabilities; report=F:\hugos way settings\MQL_ONE_FIXED_v5.5\OUTPUT\_validation\reports\-- Heiken_Ashi_Ma_T3.json,F:\Converted Indicators\-- Heiken_Ashi_Ma_T3.mq5
2026-08-24 09:46:58,!   MTH MT4 B509 SSA CycDiv Indi,MQ5_REJECTED,0,0,QUARANTINED: high-risk capabilities; report=F:\hugos way settings\MQL_ONE_FIXED_v5.5\OUTPUT\_validation\reports\!   MTH MT4 B509 SSA CycDiv Indi.json,F:\Converted Indicators\!   MTH MT4 B509 SSA CycDiv Indi.mq5
2026-08-24 09:46:58,!   mth_FastTMALine,MQ5_REJECTED,3,0,QUARANTINED: compile failed (3 errors); report=F:\hugos way settings\MQL_ONE_FIXED_v5.5\OUTPUT\_validation\reports\!   mth_FastTMALine.json,F:\Converted Indicators\!   mth_FastTMALine.mq5
2026-08-24 09:46:58,!   T_Kiads BMI Long Mod v01,MQ5_REJECTED,52,0,QUARANTINED: compile failed (52 errors); report=F:\hugos way settings\MQL_ONE_FIXED_v5.5\OUTPUT\_validation\reports\!   T_Kiads BMI Long Mod v01.json,F:\Converted Indicators\!   T_Kiads BMI Long Mod v01.mq5
2026-08-24 09:46:58,!   mth_FastTMALine_2,MQ5_REJECTED,20,0,QUARANTINED: compile failed (20 errors); report=F:\hugos way settings\MQL_ONE_FIXED_v5.5\OUTPUT\_validation\reports\!   mth_FastTMALine_2.json,F:\Converted Indicators\!   mth_FastTMALine_2.mq5
2026-08-24 09:46:58,!   T_Kiads BMI Long Mod v01_2,MQ5_REJECTED,52,0,QUARANTINED: compile failed (52 errors); report=F:\hugos way settings\MQL_ONE_FIXED_v5.5\OUTPUT\_validation\reports\!   T_Kiads BMI Long Mod v01_2.json,F:\Converted Indicators\!   T_Kiads BMI Long Mod v01_2.mq5
2026-08-24 09:47:00,!  X2 PRICE ZONE 2_3,MQ5_VERIFIED,0,0,STATIC+COMPILE PASS; runtime NOT TESTED; risk=none; quality=100; report=F:\hugos way settings\MQL_ONE_FIXED_v5.5\OUTPUT\_validation\reports\!  X2 PRICE ZONE 2_3.json,F:\hugos way settings\MQL_ONE_FIXED_v5.5\OUTPUT\VALIDATED_MQ5\!  X2 PRICE ZONE 2_3.mq5
2026-08-24 09:47:00,!  X2 PRICE ZONE 2,MQ5_VERIFIED,0,0,STATIC+COMPILE PASS; runtime NOT TESTED; risk=none; quality=100; report=F:\hugos way settings\MQL_ONE_FIXED_v5.5\OUTPUT\_validation\reports\!  X2 PRICE ZONE 2.json,F:\hugos way settings\MQL_ONE_FIXED_v5.5\OUTPUT\VALIDATED_MQ5\!  X2 PRICE ZONE 2.mq5
2026-08-24 09:47:00,!  X2 PRICE ZONE 2_2,MQ5_VERIFIED,0,0,STATIC+COMPILE PASS; runtime NOT TESTED; risk=none; quality=100; report=F:\hugos way settings\MQL_ONE_FIXED_v5.5\OUTPUT\_validation\reports\!  X2 PRICE ZONE 2_2.json,F:\hugos way settings\MQL_ONE_FIXED_v5.5\OUTPUT\VALIDATED_MQ5\!  X2 PRICE ZONE 2_2.mq5
